,Company Name,Salary,tags,Job Roles
0,Zibtek,200000,"['Mobile', 'Software', 'Developer', 'Bangalore', 'Full', 'Time', 'SDE', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Swift', 'Objective-C']",['SDE']
1,LTI,60000,"['Python', 'Software', 'Engineer', '-', 'Intern', 'Bangalore', 'Intern', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
2,Siemens,1800000,"['Software', 'Engineer(Python', 'Developer)', 'Bangalore', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
3,Infosys,500000,"['Senior', 'Python', 'Developer/Software', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
4,LTI,744000,"['Senior', 'Python', 'Developer/Software', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
5,Fresher,348000,"['Software', 'Developer', '-', 'Python(Fresher)', 'Bangalore', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
6,Fresher,300000,"['Software', 'Developer', '-', 'Python(Fresher)', 'Bangalore', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
7,Gyanmanjari Institute of Technology,648000,"['Software', 'Developer', '-', 'Python(Fresher)', 'Bangalore', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
8,First Student,400000,"['Software', 'Engineer', 'Python', '-', 'Machine', 'Learning', 'Role', 'Bangalore', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
9,Mojocare,1200000,"['SDE2', '-', 'Python', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
10,Microsec,108000,"['Software', 'Engineer', '(Python/Django)', '-', 'Intern', 'Chennai', 'Intern', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
11,Qualcomm Technologies,1500000,"['Software', 'Engineer(Python', 'Programmer)', 'Chennai', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
12,TouchPoint Support Services,300000,"['Python', 'Software', 'Developer', 'Hyderabad', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
13,Accenture,1100000,"['Sr.', 'Python', 'Developer/Software', 'Engineer', 'Hyderabad', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
14,FreshersLive,396000,"['Software', 'Developer', '-', 'Python(Fresher)', 'Hyderabad', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
15,PythonAnywhere,288000,"['Software', 'Developer', '-', 'Python(Fresher)', 'Hyderabad', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
16,Mahalaxmi Industries,300000,"['Software', 'Engineer(Python', 'Programmer)', 'Hyderabad', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
17,Zapiot Technologies,400000,"['Software', 'Engineer(PHP,', 'Python,', 'React,', 'Laravel,', 'Js)', 'Hyderabad', 'Full', 'Time', 'SDE', 'Python', 'Python Developer', 'Python', 'Django', 'Flask']",['SDE']
18,Shell,156000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
19,314e,180000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
20,Flipkart,228000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
