,Company Name,Company Url
0,Zibtek,zibtek.com
1,LTI,l-tike.com
2,Siemens,siemens.com
3,Infosys,infosys.com
4,LTI,l-tike.com
5,Fresher,fresherslive.com
6,Fresher,fresherslive.com
7,Gyanmanjari Institute of Technology,nan
8,First Student,workatfirst.com
9,Mojocare,mojocare.com
10,Microsec,microsecondnews.com
11,Qualcomm Technologies,nan
12,TouchPoint Support Services,iamtouchpoint.com
13,Accenture,accenture.com
14,FreshersLive,fresherslive.com
15,PythonAnywhere,pythonanywhere.com
16,Mahalaxmi Industries,nan
17,Zapiot Technologies,zapiot.com
18,Shell,shell.com
19,314e,ebay.com
20,Flipkart,flipkart.com
21,GE,genius.com
22,Conduent,conduent.com
23,MMACH Design,mmachdesign.com
24,JB Boda & Company,jbbodagroup.com
25,Intel Corporation,nan
26,Jupiter Money,jupiter.money
27,FireEye,fire-eye.com
28,Headrun Technologies,nan
29,Tesco,tesco.com
30,MakeMyTrip,makemytrip.com
31,PayPal,paypal.com
32,Goldman Sachs,goldmansachs.com
33,Amazon,amazon.com
34,Self,self.com
35,Cyware,cyware.com
36,Quinbay,quinbay.com
37,Publicis Sapient,publicissapient.com
38,SAP,concursolutions.com
39,Micro Focus,microfocus.com
40,Arvind,arvind.com
41,TestVagrant,testvagrant.com
42,MediBuddy,medibuddy.in
43,MediBuddy,medibuddy.in
44,Target,target.com
45,Nineleaps Technology Solutions,nan
46,NextGen Healthcare,nextgen.com
47,OneDirect (India),nan
48,XYZ (Turkey),nan
49,XYZ,xyzhomework.com
50,OYO,oyorooms.com
51,Licious,licious.in
52,Cisco Systems,nan
53,Attivo Networks,nan
54,Jumbotail,jumbotail.com
55,Juniper Networks,juniper.net
56,SonicWall,sonicwall.com
57,Hewlett-Packard,hpe.com
58,Microsoft,office.com
59,Hewlett Packard Enterprise | HPE,nan
60,Verifone,verifone.com
61,ZestMoney,zestmoney.in
62,Altair Engineering,altair.com
63,Oracle,oracle.com
64,Ola,olasjobs.org
65,Increff,increff.com
66,Trellix,trellix.com
67,TestVagrant,testvagrant.com
68,Ola,olasjobs.org
69,Publicis Sapient,publicissapient.com
70,SAP,concursolutions.com
71,Datami,dataminr.com
72,HARMAN,harman.com
73,McAfee,mcafee.com
74,Signify,signifyd.com
75,Fisdom,fisdom.com
76,Khosla Labs,nan
77,Gojek,gojek.com
78,LeadSquared,leadsquared.com
79,AppBroda Tech,nan
80,Arcesium,arcesium.com
81,Supermarket Grocery Supplies,nan
82,Shubham Housing Development Finance,shubham.co
83,InViz AI Solutions,nan
84,Motogo,motogon.ru
85,NIT Patna,nitp.ac.in
86,Jason's Deli,jasonsdeli.com
87,Indira Gandhi Delhi Technical University for Women,nan
88,Tata CLiQ,tatacliq.com
89,Betterhalf,betterhalf.ai
90,Sasken,sasken.com
91,Advanced Millennium Technologies,amt.in
92,Unacademy,unacademy.com
93,SnapBizz Cloudtech,snapbizz.com
94,Appoids Tech Solutions,nan
95,Freelancer,freelancer.com
96,SQUARE N CUBE,nan
