,Company Name,URL,Company Url
0,Zibtek,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Zibtek
1,LTI,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=LTI
2,Siemens,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Siemens
3,Infosys,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Infosys
4,LTI,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=LTI
5,Fresher,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Fresher
6,Fresher,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Fresher
7,Gyanmanjari Institute of Technology,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Gyanmanjari Institute of Technology
8,First Student,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=First Student
9,Mojocare,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Mojocare
10,Microsec,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Microsec
11,Qualcomm Technologies,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Qualcomm Technologies
12,TouchPoint Support Services,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=TouchPoint Support Services
13,Accenture,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Accenture
14,FreshersLive,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=FreshersLive
15,PythonAnywhere,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=PythonAnywhere
16,Mahalaxmi Industries,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Mahalaxmi Industries
17,Zapiot Technologies,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Zapiot Technologies
18,Shell,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Shell
19,314e,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=314e
20,Flipkart,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=Flipkart
21,GE,https://autocomplete.clearbit.com/v1/companies/suggest?query=,https://autocomplete.clearbit.com/v1/companies/suggest?query=GE
